mktime,interests,profit,value,daily_value,all_profit,close_profit,prosition_profit,settle_available_cash,position_cost,fee,retrace,value_chg,log_chg,last_profit,max_profit
20160922,474489.87,-462.58,1.19,1.0,74489.87,-486.29,261.74,399275.68,76318.2,238.03,-0.2,-0.001,0.001,74952.45,75435.92
20160923,473884.62,-605.26,1.18,1.0,73884.62,54.87,-401.81,399796.55,77277.67,258.32,-0.33,-0.0013,0.0013,74489.87,75435.92
20160926,470340.87,-3543.74,1.18,0.99,70340.87,-2562.26,-655.98,397112.23,84167.07,325.51,-1.07,-0.0075,0.0075,73884.62,75435.92
20160927,471986.54,1645.67,1.18,1.0,71986.54,1111.0,798.66,400847.02,61712.49,263.98,-0.73,0.0035,-0.0035,70340.87,75435.92
20160928,471670.96,-315.58,1.18,1.0,71670.96,162.77,-278.01,399962.43,102123.16,200.34,-0.79,-0.0007,0.0007,71986.54,75435.92
20160929,473031.43,1360.47,1.18,1.0,73031.43,1535.9,167.92,401192.55,46371.12,343.35,-0.51,0.0029,-0.0029,71670.96,75435.92
20160930,473588.24,556.81,1.18,1.0,73588.24,567.53,139.95,400416.86,48662.99,150.67,-0.39,0.0012,-0.0012,73031.43,75435.92
20161010,475166.18,1577.94,1.19,1.0,75166.18,611.36,1108.59,400469.35,56248.33,142.01,-0.06,0.0033,-0.0033,73588.24,75435.92
20161011,478326.35,3160.17,1.2,1.01,78326.35,2915.53,410.17,402750.01,47314.55,165.52,0.61,0.0067,-0.0067,75166.18,75435.92
20161012,479553.35,1227.0,1.2,1.0,79553.35,1222.96,147.8,401079.21,63819.37,143.75,0.26,0.0026,-0.0026,78326.35,78326.35
20161013,480164.21,610.86,1.2,1.0,80164.21,692.12,69.54,400541.32,86876.12,150.8,0.13,0.0013,-0.0013,79553.35,79553.35
20161014,481113.2,948.98,1.2,1.0,81113.2,646.61,539.12,400409.86,86531.44,236.75,0.2,0.002,-0.002,80164.21,80164.21
20161017,481292.56,179.37,1.2,1.0,81292.56,838.62,-430.8,400610.17,73201.14,228.45,0.04,0.0004,-0.0004,81113.2,81113.2
20161018,482391.07,1098.5,1.21,1.0,82391.07,1044.66,256.09,400842.41,93755.81,202.25,0.23,0.0023,-0.0023,81292.56,81292.56
20161019,485082.85,2691.79,1.21,1.01,85082.85,3049.17,-115.49,402807.27,85479.31,241.9,0.56,0.0056,-0.0056,82391.07,82391.07
20161020,485303.28,220.43,1.21,1.0,85303.28,605.97,-167.99,400388.42,90986.11,217.55,0.05,0.0005,-0.0005,85082.85,85082.85
20161021,487102.25,1798.97,1.22,1.0,87102.25,1840.68,287.65,401511.32,90416.83,329.36,0.37,0.0037,-0.0037,85303.28,85303.28
20161024,490330.59,3228.34,1.23,1.01,90330.59,2791.65,738.25,402490.09,117047.15,301.56,0.66,0.0066,-0.0066,87102.25,87102.25
20161025,493320.64,2990.05,1.23,1.01,93320.64,3670.17,-418.5,403408.55,108094.34,261.62,0.61,0.0061,-0.0061,90330.59,90330.59
20161026,493374.8,54.16,1.23,1.0,93374.8,538.72,-227.65,400281.81,110622.07,256.91,0.01,0.0001,-0.0001,93320.64,93320.64
20161027,495947.96,2573.16,1.24,1.01,95947.96,3119.01,-195.67,402768.83,116476.9,350.18,0.52,0.0052,-0.0052,93374.8,93374.8
20161028,496419.87,471.91,1.24,1.0,96419.87,1701.2,-913.64,401385.55,83229.39,315.65,0.1,0.001,-0.001,95947.96,95947.96
20161031,495773.99,-645.88,1.24,1.0,95773.99,202.7,-522.91,399877.03,89935.18,325.67,-0.13,-0.0013,0.0013,96419.87,96419.87
20161101,498260.59,2486.6,1.25,1.01,98260.59,2520.75,290.11,402196.48,106497.27,324.27,0.37,0.005,-0.005,95773.99,96419.87
20161102,500958.78,2698.2,1.25,1.01,100958.78,2217.07,722.94,401975.25,71930.83,241.82,0.54,0.0054,-0.0054,98260.59,98260.59
20161103,501202.68,243.9,1.25,1.0,101202.68,1749.71,-1229.15,401473.04,100078.36,276.67,0.05,0.0005,-0.0005,100958.78,100958.78
20161104,500844.76,-357.93,1.25,1.0,100844.76,491.62,-522.65,400164.73,72834.22,326.89,-0.07,-0.0007,0.0007,101202.68,101202.68
20161107,500468.28,-376.48,1.25,1.0,100468.28,509.65,-649.92,400273.44,54780.9,236.21,-0.15,-0.0008,0.0008,100844.76,101202.68
20161108,500070.66,-397.62,1.25,1.0,100070.66,-148.03,-48.81,399651.19,104341.32,200.78,-0.23,-0.0008,0.0008,100468.28,101202.68
20161109,503674.67,3604.01,1.26,1.01,103674.67,3985.51,-88.15,403692.15,57173.41,293.36,0.49,0.0072,-0.0072,100070.66,101202.68
20161110,506798.29,3123.63,1.27,1.01,106798.29,3123.28,256.71,402866.91,116844.85,256.37,0.62,0.0062,-0.0062,103674.67,103674.67
20161111,511212.83,4414.53,1.28,1.01,111212.83,5893.71,-1089.24,405503.77,110281.87,389.94,0.87,0.0087,-0.0087,106798.29,106798.29
20161114,508492.48,-2720.34,1.27,0.99,108492.48,-1924.86,-463.3,397742.96,66698.04,332.18,-0.53,-0.0053,0.0053,111212.83,111212.83
20161115,507669.85,-822.63,1.27,1.0,107669.85,482.45,-990.06,400167.43,104834.55,315.02,-0.69,-0.0016,0.0016,108492.48,111212.83
20161116,509642.7,1972.85,1.27,1.0,109642.7,2122.29,196.54,401776.32,90116.49,345.97,-0.31,0.0039,-0.0039,107669.85,111212.83
20161117,510821.98,1179.28,1.28,1.0,110821.98,1398.24,86.45,401092.83,88808.63,305.41,-0.08,0.0023,-0.0023,109642.7,111212.83
